concept_index,concept_name,layer_index,layer_name,cav_sensitivity,training_step
22,agent_against_upper_wall,2,flatten,0.05249999999999999,120000
23,agent_against_bottom_wall,2,flatten,0.10750000000000004,120000
0,avo_above_agent,3,dense,0.09250000000000003,120000
1,avo_right_of_agent,3,dense,0.03500000000000003,120000
2,avo_below_agent,3,dense,0.10250000000000004,120000
3,avo_left_of_agent,3,dense,0.015000000000000013,120000
4,random_observation,3,dense,0.007499999999999951,120000
5,enemy_close_to_agent,3,dense,0.26,120000
6,avocado_visible,3,dense,0.0050000000000000044,120000
7,agent_close_to_avocado,3,dense,0.25,120000
8,enemy_within_3_left,3,dense,0.2975,120000
9,enemy_within_3_right,3,dense,0.30000000000000004,120000
10,enemy_within_3_up,3,dense,0.2875,120000
11,enemy_within_3_down,3,dense,0.26,120000
12,enemy_2_steps_left,3,dense,0.3125,120000
13,enemy_2_steps_right,3,dense,0.39249999999999996,120000
14,enemy_2_steps_up,3,dense,0.405,120000
15,enemy_2_steps_down,3,dense,0.37,120000
16,enemy_1_step_left,3,dense,0.43500000000000005,120000
17,enemy_1_step_right,3,dense,0.44499999999999995,120000
18,enemy_1_step_up,3,dense,0.44499999999999995,120000
19,enemy_1_step_down,3,dense,0.4275,120000
20,agent_against_left_wall,3,dense,0.23250000000000004,120000
21,agent_against_right_wall,3,dense,0.12250000000000005,120000
22,agent_against_upper_wall,3,dense,0.16000000000000003,120000
23,agent_against_bottom_wall,3,dense,0.18500000000000005,120000
0,avo_above_agent,4,dense_1,0.007499999999999951,120000
1,avo_right_of_agent,4,dense_1,0.0050000000000000044,120000
2,avo_below_agent,4,dense_1,0.03249999999999997,120000
3,avo_left_of_agent,4,dense_1,0.0024999999999999467,120000
4,random_observation,4,dense_1,0.0,120000
5,enemy_close_to_agent,4,dense_1,0.0675,120000
6,avocado_visible,4,dense_1,0.05249999999999999,120000
7,agent_close_to_avocado,4,dense_1,0.2925,120000
8,enemy_within_3_left,4,dense_1,0.15000000000000002,120000
9,enemy_within_3_right,4,dense_1,0.18000000000000005,120000
10,enemy_within_3_up,4,dense_1,0.14500000000000002,120000
11,enemy_within_3_down,4,dense_1,0.10750000000000004,120000
12,enemy_2_steps_left,4,dense_1,0.1975,120000
13,enemy_2_steps_right,4,dense_1,0.27249999999999996,120000
14,enemy_2_steps_up,4,dense_1,0.255,120000
15,enemy_2_steps_down,4,dense_1,0.1925,120000
16,enemy_1_step_left,4,dense_1,0.255,120000
17,enemy_1_step_right,4,dense_1,0.245,120000
18,enemy_1_step_up,4,dense_1,0.2875,120000
19,enemy_1_step_down,4,dense_1,0.235,120000
20,agent_against_left_wall,4,dense_1,0.08999999999999997,120000
21,agent_against_right_wall,4,dense_1,0.05500000000000005,120000
22,agent_against_upper_wall,4,dense_1,0.040000000000000036,120000
23,agent_against_bottom_wall,4,dense_1,0.010000000000000009,120000
0,avo_above_agent,0,conv2d,0.012499999999999956,160000
1,avo_right_of_agent,0,conv2d,0.015000000000000013,160000
2,avo_below_agent,0,conv2d,0.020000000000000018,160000
3,avo_left_of_agent,0,conv2d,0.030000000000000027,160000
4,random_observation,0,conv2d,0.0050000000000000044,160000
